Game,Hours Watched,Peak Viewers,Average Viewers,Peak Channels,Average Channels,Viewers per Channel
Just Chatting,52 968 345,702 243,325 293,5 792,4 036,121
Dota 2,30 055 405,727 247,184 578,1 731,881,420
League of Legends,29 866 817,1 193 651,183 421,3 925,2 760,304
Overwatch 2,29 415 541,326 639,180 649,9 817,5 961,33
Grand Theft Auto V,23 751 644,309 604,145 866,4 801,2 654,64
Valorant,15 608 438,156 178,95 856,7 096,4 832,22
FIFA 23,11 894 987,369 544,73 051,3 385,1 428,109
Minecraft,8 773 557,257 814,53 881,3 338,1 858,77
Counter-Strike: Global Offensive,8 771 252,201 863,53 867,2 044,1 103,99
Apex Legends,7 035 166,81 999,43 206,4 819,3 275,17
Fortnite,7 000 898,95 723,42 995,7 204,4 322,13
World of Warcraft,5 796 591,71 196,35 599,2 630,1 122,27
Call of Duty: Modern Warfare II,5 205 333,355 980,32 366,16 000,2 281,22
Pokémon Community Game,5 115 851,310 263,31 451,89,55,3 486
Call of Duty: Warzone,4 755 435,70 759,29 205,4 137,2 328,17
Sports,4 545 038,665 143,27 913,423,146,1 572
Dead by Daylight,4 318 646,46 559,26 523,3 035,1 811,15
Music,4 036 856,115 046,24 792,1 620,1 022,71
Teamfight Tactics,3 516 189,41 898,21 595,388,272,108
Slots,3 404 045,130 589,20 906,221,113,591
