Channel Name,language,Followers,Hours Watched,Peak Viewers,Average Viewers,Airtime,Followers Gain
ESL_CSGO,EN,5.83M,10 867 080,413 706,65 829,165h 5m,89 283
Gaules,PT,3.78M,8 863 196,534 528,52 915,167h 30m,48 006
csgo_mc,RU,1.20M,3 574 259,203 775,64 113,55h 45m,23 338
KaiCenat,EN,2.88M,3 569 283,283 245,71 625,49h 50m,123 307
xQc,EN,11.37M,3 499 619,81 945,52 892,66h 10m,20 318
AdinRoss,EN,6.85M,2 824 554,207 041,82 671,34h 10m,118 860
HasanAbi,EN,2.28M,2 313 618,86 804,40 413,57h 15m,11 937
だるまいずごっど,JA,478K,1 902 195,52 319,27 770,68h 30m,16 798
fps_shaka,JA,974K,1 764 360,51 093,22 915,77h,5 706
summit1g,EN,6.14M,1 303 700,28 512,18 827,69h 15m,834
IlloJuan,ES,2.67M,1 248 194,67 915,38 906,32h 5m,23 791
auronplay,ES,14.08M,1 234 109,99 203,68 562,18h,27 952
ibai,ES,11.93M,1 232 218,235 528,70 413,17h 30m,26 443
alanzoka,PT,6.03M,1 178 541,52 651,32 967,35h 45m,19 829
loltyler1,EN,5.10M,1 078 060,25 731,17 459,61h 45m,8 359
eliasn97,DE,1.29M,1 029 588,48 476,29 209,35h 15m,3 805
tarik,EN,2.34M,1 010 257,40 638,16 608,60h 50m,7 914
우왁굳,KO,914K,960 519,33 872,17 360,55h 20m,2 185
Rubius,ES,13.16M,918 997,51 070,27 030,34h,254 070
한동숙,KO,524K,886 280,23 851,11 161,79h 25m,1 162
