platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,dota2ti,dota2ti,35630634,8012278,303014,160783,2990,72215,21781196,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/19b286b5-d586-433b-91fa-6070640fc8a3-profile_image-300x300.png,,en,partner,Organization
twitch,riotgames,Riot Games,36029255,5647200,449789,132876,2550,34642,11427513,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-300x300.png,,en,partner,Organization
twitch,nix,Nix,67708794,3969998,171805,63691,3740,28092,9232276,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/c8ff98b9-b235-47c1-8079-ad10f5099dc2-profile_image-300x300.png,RU,ru,partner,Male
twitch,dota2ti_ru,dota2ti_ru,35631192,2998145,149861,59765,3010,25595,13543432,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/7166a1ba-75aa-44cc-bd8b-4a6d8b32b3c0-profile_image-300x300.png,,ru,partner,Organization
twitch,ibai,ibai,83232866,2978093,614157,68991,2590,60724,11662408,Sports,https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-300x300.png,ES,es,partner,Male
twitch,xqc,xQc,71092938,2602526,89223,61966,2520,23839,6963851,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male
twitch,gaules,Gaules,181077473,2248118,58383,13389,10075,6331,4690397,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png,BR,pt,partner,Male
twitch,eliasn97,eliasn97,238813810,1685208,90899,36503,2770,8731,2177599,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male
twitch,just_ns,just_ns,42316376,1642892,57317,24583,4010,6634,3678566,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/d61321a5-9a02-4f46-b718-70e3c4260d66-profile_image-300x300.png,RU,ru,partner,Male
twitch,lck_korea,LCK_Korea,190835892,1588647,218620,80779,1180,5300,5865416,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-300x300.png,KR,ko,partner,Organization
twitch,pgl_dota2,PGL_Dota2,87056709,1563082,137804,60507,1550,9787,7241043,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/356322d8-9ed7-463b-bc36-7798a03bacbe-profile_image-300x300.png,RO,en,partner,Organization
twitch,illojuan,IlloJuan,90075649,1519424,172545,51652,1765,20843,5221101,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-300x300.png,ES,es,partner,Male
twitch,hasanabi,HasanAbi,207813352,1519005,42783,27086,3365,7740,4192752,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male
twitch,loud_coringa,loud_coringa,569325723,1503515,61460,23929,3770,16425,6342549,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-300x300.png,BR,pt,partner,Male
twitch,auronplay,auronplay,459331509,1450025,112900,66414,1310,29273,6408664,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-300x300.png,ES,es,partner,Male
twitch,blastpremier,BLASTPremier,163299585,1412749,74020,27702,3060,13050,5449417,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/1216f81a-2fdb-4df6-9eeb-972c191964fd-profile_image-300x300.png,DK,en,partner,Organization
twitch,gorgc,Gorgc,108268890,1376747,39142,18136,4555,4090,2922674,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-300x300.jpeg,SE,en,partner,Male
twitch,paulinholokobr,PaulinhoLOKObr,531177917,1347399,131008,74169,1090,38152,5169872,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png,BR,pt,partner,Male
twitch,lvpes,LVPes,22346597,1317699,107456,24708,3200,5727,3008733,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-300x300.png,ES,es,partner,Organization
twitch,kaicenat,KaiCenat,641972806,1271556,242412,82480,925,90106,8638243,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male
twitch,summit1g,summit1g,26490481,1225566,31875,17699,4155,6463,2686039,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male
twitch,halo,Halo,26019478,1150756,98574,35318,1955,11821,2653547,Halo Infinite,https://static-cdn.jtvnw.net/jtv_user_pictures/493836c1-9c9e-4792-9960-6887cfb1e385-profile_image-300x300.png,,en,partner,Organization
twitch,stylishnoob4,stylishnoob4,50988750,1146649,26419,16946,4060,3345,2703698,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png,JP,ja,partner,Male
twitch,fextralife,Fextralife,156037856,1139618,42712,18284,3740,2505,6303476,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-300x300.png,,en,partner,Organization
twitch,otplol_,otplol_,622498423,1095870,85920,11416,5760,3914,3414248,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-300x300.png,FR,fr,partner,Organization
twitch,adinross,AdinRoss,59299632,954685,84381,52075,1100,26180,4064581,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-300x300.png,US,en,partner,Male
twitch,fps_shaka,fps_shaka,49207184,934545,40538,18030,3110,2606,2794486,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male
twitch,castro_1021,Castro_1021,52091823,927814,41394,22358,2490,9639,2853601,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-300x300.jpg,US,en,partner,Male
twitch,trainwreckstv,Trainwreckstv,71190292,906690,42590,25482,2135,2254,2013994,Slots,https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-300x300.png,US,en,partner,Male
twitch,elmariana,ElMariana,496795673,891442,53356,36888,1450,39041,3630170,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-300x300.png,MX,es,partner,Male
twitch,lla,LLA,142055874,887637,77779,45521,1170,5351,1291730,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/2944bdb8-bbd5-4cfc-9aa6-429a2d0b6789-profile_image-300x300.jpeg,,es,partner,Organization
twitch,dansgaming,DansGaming,7236692,865163,8268,5221,9945,1002,1161461,Darkwood,https://static-cdn.jtvnw.net/jtv_user_pictures/79c71a35-8944-41d7-b9cd-1aaaae4a53ee-profile_image-300x300.png,US,en,partner,Male
twitch,woowakgood,우왁굳,49045679,862198,31360,14866,3480,3211,2733813,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-300x300.png,KR,ko,partner,Male
twitch,tarik,tarik,36340781,855832,23768,14466,3550,9574,2700444,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-300x300.png,US,en,partner,Male
twitch,betboom_ru,betboom_ru,129339704,853858,88432,31625,1620,6438,4922089,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/8b30d809-483a-476c-a012-3da78cb8e1a5-profile_image-300x300.png,RU,ru,partner,Organization
twitch,rubius,Rubius,39276140,834192,39725,23835,2100,21947,3635420,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-300x300.jpg,ES,es,partner,Male
twitch,lirik,LIRIK,23161357,797381,30849,17786,2690,834,2275644,A Plague Tale: Requiem,https://static-cdn.jtvnw.net/jtv_user_pictures/7ddf1f29-544d-4b88-bbed-16e74d836792-profile_image-300x300.png,US,en,partner,Male
twitch,westcol,WestCOL,168732568,791465,66147,37991,1250,39483,2513225,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/239e349f-c0e4-4cc6-aec9-911224268e5b-profile_image-300x300.png,CO,es,partner,Male
twitch,antoinedaniel,AntoineDaniel,135468063,761801,45147,23807,1920,3451,2058136,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/7474d9d8-ab27-46c8-95f4-0c71b1878c78-profile_image-300x300.png,FR,fr,partner,Male
twitch,rocketleague,RocketLeague,57781936,752235,72461,34586,1305,6382,1855914,Rocket League,https://static-cdn.jtvnw.net/jtv_user_pictures/4f182bee-012a-4955-9bd2-55d903f84276-profile_image-300x300.png,,en,partner,Organization
twitch,luquet4,LuquEt4,267635380,736288,54272,18840,2345,27643,2217465,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/0863a8b0-7fdb-44a9-8212-680cfbaa38f9-profile_image-300x300.png,BR,pt,partner,Male
twitch,k3soju,k3soju,128293484,726910,17573,11184,3900,2511,1138597,Teamfight Tactics,https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-300x300.png,US,en,partner,Male
twitch,handongsuk,한동숙,139470326,721517,25980,13424,3225,996,1859234,Lost Ark,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-300x300.png,KR,ko,partner,Male
twitch,jltomy,JLTomy,155601320,707971,22229,12892,3295,2241,1969171,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/aa2bc80a-e317-494a-a94d-7492889e4f66-profile_image-300x300.png,FR,fr,partner,Male
twitch,juansguarnizo,juansguarnizo,121510236,699677,48093,25677,1635,23556,3053664,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-300x300.png,CO,es,partner,Male
twitch,shroud,shroud,37402112,693261,42088,24760,1680,9636,3077219,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-300x300.png,CA,en,partner,Male
twitch,cblol,CBLOL,36511475,675156,62288,36996,1095,1984,1048386,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/537c6be6-37d3-4e01-a1fb-a56f8bda32ae-profile_image-300x300.png,BR,pt,partner,Organization
twitch,dafran,dafran,41314239,674331,31142,13624,2970,18887,1535710,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/dafran-profile_image-98c45a96ca6ad150-300x300.png,DK,en,partner,Male
twitch,a_seagull,A_Seagull,19070311,660875,31145,15551,2550,11572,1444127,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a_seagull-profile_image-4d2d235688c7dc66-300x300.png,US,en,partner,Male
twitch,zackrawrr,zackrawrr,552120296,656116,19687,11411,3450,13230,1683284,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,without status,Male
twitch,tsm_imperialhal,TSM_ImperialHal,146922206,636444,21872,12794,2985,4401,1844508,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/039b8034-2b66-4d30-97ec-15bf08f219d9-profile_image-300x300.png,US,en,partner,Male
twitch,loltyler1,loltyler1,51496027,615865,27653,17268,2140,8552,1731077,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male
twitch,dota2ti_es,dota2ti_es,131439345,604746,28764,12301,2950,18060,2272116,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a050a4df-e016-4767-bef9-633cd11f7ff0-profile_image-300x300.png,,es,partner,Organization
twitch,trymacs,Trymacs,64342766,594791,33690,19663,1815,6697,1734275,Clash of Clans,https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-300x300.png,DE,de,partner,Male
