platform,channel_id,channel_name,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type
twitch,31239503,esl_csgo,21565,Counter-Strike: Global Offensive,,en,partner,Organization
twitch,71092938,xqc,15028,Just Chatting,CA,en,partner,Male
twitch,64342766,trymacs,37057,FIFA 23,DE,de,partner,Male
twitch,181077473,gaules,6659,Counter-Strike: Global Offensive,BR,pt,partner,Male
twitch,641972806,kaicenat,82896,Just Chatting,US,en,partner,Male
twitch,238813810,eliasn97,31435,FIFA 23,DE,de,partner,Male
twitch,459331509,auronplay,50763,Minecraft,ES,es,partner,Male
twitch,207813352,hasanabi,19102,Just Chatting,US,en,partner,Male
twitch,157658336,elspreen,74494,Minecraft,AR,es,partner,Male
twitch,45044816,montanablack88,26161,FIFA 23,DE,de,partner,Male
twitch,531177917,paulinholokobr,48545,Grand Theft Auto V,BR,pt,partner,Male
twitch,552120296,zackrawrr,27773,World of Warcraft,US,en,without status,Male
twitch,49045679,woowakgood,4490,VRChat,KR,ko,partner,Male
twitch,36029255,riotgames,31939,League of Legends,,en,partner,Organization
twitch,50988750,stylishnoob4,5342,Gundam Evolution,JP,ja,partner,Male
twitch,496795673,elmariana,65795,Minecraft,MX,es,partner,Male
twitch,92038375,caedrel,13759,League of Legends,DE,en,partner,Male
twitch,545050196,kato_junichi0817,4981,Monster Hunter Rise,jp,ja,affilate,Male
twitch,49207184,fps_shaka,4514,Gundam Evolution,JP,ja,partner,Male
twitch,213748641,csgo_mc,5455,Counter-Strike: Global Offensive,UA,ru,partner,Organization
twitch,52091823,castro_1021,29964,FIFA 23,US,en,partner,Male
twitch,83232866,ibai,27255,Minecraft,ES,es,partner,Male
twitch,72550899,roshtein,2549,Slots,SE,en,without status,Male
twitch,26301881,sodapoppin,2784,World of Warcraft,US,en,partner,Male
twitch,622498423,otplol_,4036,League of Legends,FR,fr,partner,Organization
twitch,569325723,loud_coringa,14567,Grand Theft Auto V,BR,pt,partner,Male
twitch,121510236,juansguarnizo,41296,Minecraft,CO,es,partner,Male
twitch,15564828,nickmercs,2996,Apex Legends,US,en,partner,Male
twitch,90075649,illojuan,15913,Just Chatting,ES,es,partner,Male
twitch,128293484,k3soju,3150,Teamfight Tactics,US,en,partner,Male
twitch,39276140,rubius,26976,Minecraft,ES,es,partner,Male
twitch,139470326,handongsuk,1443,VALORANT,KR,ko,partner,Male
twitch,52345220,tisischubech,47811,FIFA 23,DE,de,partner,Male
twitch,146922206,tsm_imperialhal,7412,Apex Legends,US,en,partner,Male
twitch,267635380,luquet4,25965,Grand Theft Auto V,BR,pt,partner,Male
twitch,103825127,hanryang1125,417,Dark and Darker,KR,ko,partner,Male
twitch,37402112,shroud,10066,VALORANT,CA,en,partner,Male
twitch,23161357,lirik,532,Grounded,US,en,partner,Male
twitch,26019478,halo,9136,Halo Infinite,,en,partner,Organization
twitch,36340781,tarik,10821,VALORANT,US,en,partner,Male
twitch,77827128,tumblurr,5982,Grand Theft Auto V,IT,it,partner,Male
twitch,26490481,summit1g,-1180,New World,US,en,partner,Male
twitch,73437396,bonjwa,1092,Special Events,DE,de,partner,Male
twitch,165080419,elraenn,14242,Fall Guys: Ultimate Knockout,TR,tr,partner,Male
twitch,125036509,gamerbrother,30851,FIFA 23,DE,de,partner,Male
twitch,254489093,casimito,9153,Just Chatting,BR,pt,partner,Male
twitch,38746172,esfandtv,2882,World of Warcraft,US,en,partner,Male
twitch,132230344,moistcr1tikal,17504,Just Chatting,US,en,partner,Male
twitch,125387632,amouranth,26836,"Pools, Hot Tubs, and Beaches",US,en,partner,Female
twitch,22346597,lvpes,6565,League of Legends,ES,es,partner,Organization
twitch,38244180,alanzoka,11499,Grounded,BR,pt,partner,Male
twitch,40017619,doublelift,8612,League of Legends,US,en,partner,Male
twitch,407388596,aminematue,18332,Just Chatting,FR,fr,partner,Male
twitch,48082917,jokerdtv,6996,World of Warcraft,MT,en,partner,Male
twitch,51496027,loltyler1,2396,League of Legends,US,en,partner,Male
twitch,29578325,beyondthesummit,3185,Dota 2,,en,partner,Organization
twitch,44525650,k4sen,4595,Astroneer,JP,ja,partner,Male
twitch,26610234,cohhcarnage,614,Grounded,US,en,partner,Male
twitch,88084663,brucedropemoff,19208,Just Chatting,US,en,partner,Male
twitch,85397463,noway4u_sir,2259,League of Legends,DE,de,partner,Male
twitch,25202416,shuteye_orange,409,Just Chatting,TW,zh,partner,Male
twitch,36983084,ungespielt,6068,World of Warcraft,DE,de,partner,Male
twitch,27115917,kamet0,7023,FIFA 23,FR,fr,partner,Male
twitch,168732568,westcol,32399,Just Chatting,CO,es,partner,Male
twitch,121059319,moonmoon,328,Skate 3,US,en,partner,Male
twitch,31919607,elxokas,3982,World of Warcraft,ES,es,partner,Male
twitch,96116107,mixwell,10718,VALORANT,ES,es,partner,Male
twitch,108268890,gorgc,1870,Dota 2,SE,en,partner,Male
twitch,59799994,gabepeixe,5600,Grand Theft Auto V,BR,pt,partner,Male
twitch,145015519,foolish_gamers,5271,VALORANT,US,en,partner,Male
twitch,79087140,kendinemuzisyen,7142,FIFA 23,TR,tr,partner,Male
twitch,56649026,quin69,414,Path of Exile,NZ,en,partner,Male
twitch,28369163,bateson87,23786,FIFA 23,GB,en,partner,Male
twitch,36926489,yourragegaming,8423,Just Chatting,US,en,partner,Male
twitch,75346877,brawlhalla,3696,Brawlhalla,,en,partner,Organization
twitch,65171890,rainbow6,2094,Tom Clancy's Rainbow Six Siege,,en,partner,Organization
