platform,channel_id,channel_name,hours_watched,airtime_in_m
twitch,31239503,esl_csgo,4292848,9375
twitch,71092938,xqc,3995899,3740
twitch,64342766,trymacs,3430674,7200
twitch,181077473,gaules,3056759,10000
twitch,641972806,kaicenat,3007049,3665
twitch,238813810,eliasn97,2945764,2870
twitch,459331509,auronplay,2926012,1775
twitch,207813352,hasanabi,1980765,3135
twitch,157658336,elspreen,1859413,1730
twitch,45044816,montanablack88,1690035,3240
twitch,531177917,paulinholokobr,1669927,1510
twitch,552120296,zackrawrr,1500685,3780
twitch,49045679,woowakgood,1334129,3815
twitch,36029255,riotgames,1308145,300
twitch,50988750,stylishnoob4,1286127,4435
twitch,496795673,elmariana,1277938,1985
twitch,92038375,caedrel,1276694,9690
twitch,545050196,kato_junichi0817,1226769,2880
twitch,49207184,fps_shaka,1185378,3715
twitch,213748641,csgo_mc,1171759,3275
twitch,52091823,castro_1021,1155799,2185
twitch,83232866,ibai,1090597,1785
twitch,72550899,roshtein,1064062,3355
twitch,26301881,sodapoppin,1046502,3625
twitch,622498423,otplol_,986878,10080
twitch,569325723,loud_coringa,982283,2195
twitch,121510236,juansguarnizo,961876,2215
twitch,15564828,nickmercs,935369,2715
twitch,90075649,illojuan,917611,1845
twitch,128293484,k3soju,898597,4225
twitch,39276140,rubius,872585,1910
twitch,139470326,handongsuk,870762,3635
twitch,52345220,tisischubech,807286,1940
twitch,146922206,tsm_imperialhal,805327,2930
twitch,267635380,luquet4,804583,2425
twitch,103825127,hanryang1125,797868,3445
twitch,37402112,shroud,795160,2440
twitch,23161357,lirik,791028,2295
twitch,26019478,halo,763391,1505
twitch,36340781,tarik,755489,2615
twitch,77827128,tumblurr,737415,3070
twitch,26490481,summit1g,726603,3595
twitch,73437396,bonjwa,723756,5640
twitch,165080419,elraenn,712083,2070
twitch,125036509,gamerbrother,699701,2010
twitch,254489093,casimito,691774,1740
twitch,38746172,esfandtv,664687,5580
twitch,132230344,moistcr1tikal,663012,2745
twitch,125387632,amouranth,652031,4555
twitch,22346597,lvpes,647270,950
twitch,38244180,alanzoka,645942,2185
twitch,40017619,doublelift,643785,3260
twitch,407388596,aminematue,641449,1260
twitch,48082917,jokerdtv,636597,4465
twitch,51496027,loltyler1,631144,2585
twitch,29578325,beyondthesummit,611243,10075
twitch,44525650,k4sen,594707,3140
twitch,26610234,cohhcarnage,586426,3560
twitch,88084663,brucedropemoff,580430,1095
twitch,85397463,noway4u_sir,578927,2790
twitch,25202416,shuteye_orange,560469,10080
twitch,36983084,ungespielt,559931,7780
twitch,27115917,kamet0,552020,2235
twitch,168732568,westcol,547453,1325
twitch,121059319,moonmoon,545948,2735
twitch,31919607,elxokas,524565,2795
twitch,96116107,mixwell,521145,2365
twitch,108268890,gorgc,513664,2660
twitch,59799994,gabepeixe,503477,3240
twitch,145015519,foolish_gamers,494038,4100
twitch,79087140,kendinemuzisyen,491925,2685
twitch,56649026,quin69,483952,3145
twitch,28369163,bateson87,479292,2890
twitch,36926489,yourragegaming,477113,1585
twitch,75346877,brawlhalla,472299,1720
twitch,65171890,rainbow6,465725,2045
twitch,47071880,yoda,447189,3120
twitch,20992865,grubby,446867,6465
twitch,463176517,primeleague,445134,665
twitch,32140000,sypherpk,444877,5965
twitch,26921830,elajjaz,442334,3440
twitch,24147592,gotaga,439490,1605
twitch,140772558,baiano,429643,3755
twitch,36511475,cblol,428193,360
twitch,28579002,cellbit,415089,2635
twitch,48878319,thegrefg,407468,2070
twitch,168843586,primevideo,407126,385
twitch,177730578,odablock,404997,10080
twitch,143759910,runthefutmarket,400786,2365
twitch,156037856,fextralife,400224,2635
twitch,28575692,mistermv,396772,3330
twitch,169700336,lilpaaaaaa,395214,2135
twitch,40488774,stray228,389774,2590
twitch,41719107,zerator,389577,2705
twitch,103268673,gmhikaru,386029,1885
twitch,93869876,thebausffs,385678,1570
twitch,50597026,ponce,384944,2130
twitch,87481167,voodoosh,380507,3060
twitch,115141884,grpzdc,370002,2135
twitch,427632467,lvndmark,365243,3495
