platform,channel_id,channel_name,peak_viewers,average_viewers,live_views
twitch,31239503,esl_csgo,413706,65829,30678282.0
twitch,181077473,gaules,534528,52915,20849972.0
twitch,213748641,csgo_mc,203775,64113,12134376.0
twitch,641972806,kaicenat,283245,71625,13588150.0
twitch,71092938,xqc,81945,52892,9956935.0
twitch,59299632,adinross,207041,82671,7686914.0
twitch,207813352,hasanabi,86804,40413,5544565.0
twitch,132004305,darumaisgod,52319,27770,4972119.0
twitch,49207184,fps_shaka,51093,22915,4522436.0
twitch,26490481,summit1g,28512,18827,3038718.0
twitch,90075649,illojuan,67915,38906,3799478.0
twitch,459331509,auronplay,99203,68562,5440995.0
twitch,83232866,ibai,235528,70413,5797629.0
twitch,38244180,alanzoka,52651,32967,3554745.0
twitch,51496027,loltyler1,25731,17459,2710626.0
twitch,238813810,eliasn97,48476,29209,1022.0
twitch,36340781,tarik,40638,16608,3335726.0
twitch,49045679,woowakgood,33872,17360,2641640.0
twitch,39276140,rubius,51070,27030,4100390.0
twitch,139470326,handongsuk,23851,11161,1982485.0
twitch,103825127,hanryang1125,24726,13130,1775472.0
twitch,569325723,loud_coringa,59292,29815,3509293.0
twitch,146922206,tsm_imperialhal,49637,17527,2369328.0
twitch,23161357,lirik,27941,17320,2109419.0
twitch,531177917,paulinholokobr,92977,64068,3021864.0
twitch,157658336,elspreen,61167,43599,3322605.0
twitch,31688366,symfuhny,33848,14111,2881379.0
twitch,545050196,kato_junichi0817,30341,17816,1910831.0
twitch,64342766,trymacs,35168,21520,1809524.0
twitch,496795673,elmariana,51227,37469,3006441.0
twitch,254489093,casimito,134873,25502,2036085.0
twitch,125387632,amouranth,20187,8374,
twitch,552120296,zackrawrr,25159,13876,1647264.0
twitch,71588578,therealknossi,74446,40857,2062414.0
twitch,156037856,fextralife,19258,11129,4843913.0
twitch,43683025,ohnepixel,21041,11122,1511025.0
twitch,55125740,fortnite,94646,59847,2964771.0
twitch,31919607,elxokas,26397,11339,2628807.0
twitch,39426641,evelone192,64090,30137,
twitch,28579002,cellbit,83779,20187,1576874.0
twitch,267635380,luquet4,49583,22298,2518323.0
twitch,77415295,jasper7se,20691,11013,2542165.0
twitch,58221890,doktorfroid,32565,15823,1759570.0
twitch,85397463,noway4u_sir,18810,12200,1063123.0
twitch,817607397,bruxaofc,9786,4325,
twitch,59799994,gabepeixe,85530,11599,3071444.0
twitch,26301881,sodapoppin,40333,17615,1567142.0
twitch,85800130,etoiles,36729,13445,1723031.0
twitch,20694610,towelliee,26887,8001,590199.0
twitch,47077273,adren,41263,12002,2659479.0
twitch,15564828,nickmercs,37142,19675,2014056.0
twitch,52091823,castro_1021,47707,20139,1865996.0
twitch,24147592,gotaga,50375,10872,2203394.0
twitch,26610234,cohhcarnage,19542,8921,594535.0
twitch,48878319,thegrefg,33209,15064,3416015.0
twitch,56649026,quin69,16135,9104,1082312.0
twitch,44525650,k4sen,23849,9665,1994292.0
twitch,47071880,yoda,18413,9864,1007087.0
twitch,25202416,shuteye_orange,6821,3456,641436.0
twitch,132230344,moistcr1tikal,25685,11861,1678253.0
twitch,27115917,kamet0,50396,16189,1901053.0
twitch,116245074,bagginstv,20666,10065,822345.0
twitch,26921830,elajjaz,13006,8551,886017.0
twitch,36926489,yourragegaming,35700,17823,2420495.0
twitch,41719107,zerator,29291,11176,1747713.0
twitch,35936871,esl_csgob,114887,22512,1879030.0
twitch,155601320,jltomy,31019,15301,1699850.0
twitch,57781936,rocketleague,47911,24840,1286835.0
twitch,88084663,brucedropemoff,39933,26378,867850.0
twitch,50988750,stylishnoob4,20229,12715,1309061.0
twitch,44741426,streamerhouse,13632,2809,525527.0
twitch,6094619,jankos,22236,14119,1449341.0
twitch,88946548,aceu,24079,14336,1457853.0
twitch,407388596,aminematue,54941,40634,1994033.0
twitch,159118073,forg1,21639,8108,1126368.0
twitch,121059319,moonmoon,19823,12292,900834.0
twitch,108268890,gorgc,14759,9496,1045406.0
twitch,24765850,blusewilly_retry,13100,8192,741988.0
twitch,127506955,pubg_battlegrounds,19445,6847,9774377.0
twitch,66272442,nikolarn,15229,10519,5642806.0
twitch,168732568,westcol,36286,25415,1875916.0
twitch,40972890,admiralbahroo,9371,5797,724460.0
twitch,38121996,bastighg,13867,7548,1157740.0
twitch,121510236,juansguarnizo,61841,34141,1801982.0
twitch,70357283,arigameplays,22291,8529,2580169.0
twitch,60056333,tfue,16195,9942,1785116.0
twitch,168116110,1pvcs,22044,2315,1076253.0
twitch,87481167,voodoosh,10286,5307,906977.0
twitch,152633332,knekro,14637,5857,1224246.0
twitch,82197170,ewroon,21541,11353,1341726.0
twitch,38881685,boxbox,10780,5800,748210.0
twitch,652452451,meduska,15344,5738,324512.0
twitch,30623831,quickybaby,11953,6548,448354.0
twitch,151054406,apricot,5715,2115,373529.0
twitch,123182260,hiswattson,11781,7056,1065157.0
twitch,590906662,telefe,42797,13200,
twitch,264984080,abugoku9999,9924,6399,153673.0
twitch,135468063,antoinedaniel,28973,16480,1009428.0
twitch,49839696,rebirthztv,16295,9668,1430245.0
twitch,84316241,penta,10902,8155,649621.0
